id;dob;Sex;penAge;maritalSatatus;dobPartner;sexPartner;Lop;Lpp;LppIngegaan;Wzp;WzpIngegaan;Top;topStart;topEnd
1;04/23/1909;F;65;M;06/23/1911;M;18197;12737.9;;2547.58;;4549.25;62;65
2;05/19/1923;F;65;M;07/19/1925;M;23771;16639.7;;3327.94;;5942.75;62;65
3;11/27/1921;F;65;M;01/27/1924;M;6091;4263.7;;852.74;;1522.75;62;65
4;11/22/1915;F;65;M;01/22/1918;M;22760;15932;;3186.4;;5690;62;65
5;09/09/1990;M;65;U;;F;9839;6887.3;;1377.46;;2459.75;62;65
6;08/26/1909;F;65;M;10/26/1911;M;5433;3803.1;;760.62;;1358.25;62;65
7;08/19/1955;M;65;U;;F;2114;1479.8;;295.96;;528.5;62;65
8;02/04/1954;M;65;U;;F;22842;15989.4;;3197.88;;5710.5;62;65
9;02/28/1917;F;65;M;04/28/1919;M;9192;6434.4;;1286.88;;2298;62;65
10;08/05/1971;M;65;U;;F;19207;13444.9;;2688.98;;4801.75;62;65
11;09/18/1988;F;65;U;;M;16955;11868.5;;2373.7;;4238.75;62;65
12;06/18/1977;F;65;U;;M;18668;13067.6;;2613.52;;4667;62;65
13;10/28/1908;F;65;M;12/28/1910;M;12608;8825.6;;1765.12;;3152;62;65
14;04/26/1922;F;65;M;06/26/1924;M;10902;7631.4;;1526.28;;2725.5;62;65
15;06/15/1912;F;65;M;08/15/1914;M;20842;14589.4;;2917.88;;5210.5;62;65
16;10/09/1986;M;65;U;;F;12194;8535.8;;1707.16;;3048.5;62;65
17;04/01/1988;M;65;U;;F;15418;10792.6;;2158.52;;3854.5;62;65
18;04/12/1953;F;65;M;06/12/1955;M;23788;16651.6;;3330.32;;5947;62;65
19;10/23/1955;F;65;U;;M;4810;3367;;673.4;;1202.5;62;65
20;06/06/1987;M;65;U;;F;2470;1729;;345.8;;617.5;62;65
21;12/20/1947;F;65;M;02/20/1950;M;9869;6908.3;;1381.66;;2467.25;62;65
22;01/18/1970;M;65;U;;F;2795;1956.5;;391.3;;698.75;62;65
23;07/22/1952;M;65;M;05/22/1950;F;9197;6437.9;;1287.58;;2299.25;62;65
24;11/16/1922;M;65;M;09/16/1920;F;8035;5624.5;;1124.9;;2008.75;62;65
25;07/19/1984;M;65;U;;F;22640;15848;;3169.6;;5660;62;65
26;08/24/1993;M;65;U;;F;24023;16816.1;;3363.22;;6005.75;62;65
27;10/04/1925;M;65;M;08/04/1923;F;21622;15135.4;;3027.08;;5405.5;62;65
28;05/13/1964;M;65;U;;F;20518;14362.6;;2872.52;;5129.5;62;65
29;06/26/1960;F;65;U;;M;1423;996.1;;199.22;;355.75;62;65
30;11/14/1959;F;65;U;;M;18572;13000.4;;2600.08;;4643;62;65
31;12/28/1958;F;65;U;;M;6016;4211.2;;842.24;;1504;62;65
32;06/18/1954;F;65;U;;M;10419;7293.3;;1458.66;;2604.75;62;65
33;09/01/1902;F;65;M;11/01/1904;M;14727;10308.9;;2061.78;;3681.75;62;65
34;08/18/1970;M;65;U;;F;15341;10738.7;;2147.74;;3835.25;62;65
35;01/02/1965;M;65;U;;F;12598;8818.6;;1763.72;;3149.5;62;65
36;09/05/1910;F;65;M;11/05/1912;M;4743;3320.1;;664.02;;1185.75;62;65
37;09/19/1936;F;65;M;11/19/1938;M;14622;10235.4;;2047.08;;3655.5;62;65
38;10/15/1951;M;65;M;08/15/1949;F;13608;9525.6;;1905.12;;3402;62;65
39;06/25/1989;F;65;U;;M;8993;6295.1;;1259.02;;2248.25;62;65
40;08/10/1956;M;65;U;;F;15402;10781.4;;2156.28;;3850.5;62;65
41;01/08/1902;M;65;M;11/08/1899;F;5933;4153.1;;830.62;;1483.25;62;65
42;09/01/1957;F;65;U;;M;18717;13101.9;;2620.38;;4679.25;62;65
43;06/09/1979;M;65;U;;F;9256;6479.2;;1295.84;;2314;62;65
44;10/06/1991;M;65;U;;F;1728;1209.6;;241.92;;432;62;65
45;05/02/1913;M;65;M;03/02/1911;F;4308;3015.6;;603.12;;1077;62;65
46;07/21/1941;M;65;M;05/21/1939;F;23860;16702;;3340.4;;5965;62;65
47;04/16/1944;F;65;M;06/16/1946;M;11455;8018.5;;1603.7;;2863.75;62;65
48;01/16/1947;F;65;M;03/16/1949;M;23577;16503.9;;3300.78;;5894.25;62;65
49;09/04/1993;M;65;U;;F;16696;11687.2;;2337.44;;4174;62;65
50;10/08/1919;F;65;M;12/08/1921;M;20307;14214.9;;2842.98;;5076.75;62;65
51;08/04/1983;F;65;U;;M;3103;2172.1;;434.42;;775.75;62;65
52;12/15/1983;F;65;U;;M;2459;1721.3;;344.26;;614.75;62;65
53;02/02/1934;F;65;M;04/02/1936;M;16601;11620.7;;2324.14;;4150.25;62;65
54;08/16/1908;M;65;M;06/16/1906;F;22291;15603.7;;3120.74;;5572.75;62;65
55;01/28/1953;F;65;M;03/28/1955;M;18637;13045.9;;2609.18;;4659.25;62;65
56;10/23/1969;F;65;U;;M;9256;6479.2;;1295.84;;2314;62;65
57;06/17/1907;F;65;M;08/17/1909;M;3277;2293.9;;458.78;;819.25;62;65
58;04/23/1945;F;65;M;06/23/1947;M;5817;4071.9;;814.38;;1454.25;62;65
59;03/04/1990;F;65;U;;M;9698;6788.6;;1357.72;;2424.5;62;65
60;02/08/1909;F;65;M;04/08/1911;M;18344;12840.8;;2568.16;;4586;62;65
61;11/08/1971;M;65;U;;F;15985;11189.5;;2237.9;;3996.25;62;65
62;07/13/1939;M;65;M;05/13/1937;F;19126;13388.2;;2677.64;;4781.5;62;65
